Data,CO2,N2O,Alcoli,Alogenati,Vapore,Temperatura [°C],Umidita [%],Q.Mandata [mc/h],Q.Ritorno [mc/h],DP Ambiente [Pa],DP Filtro [Pa],N. Ricambi Ora,Polveri Grosse,Polveri Fine,Temperatura [°C]_filtered_1H,Q.Mandata [mc/h]_filtered_1H,Q.Ritorno [mc/h]_filtered_1H,DP Ambiente [Pa]_filtered_1H,DP Filtro [Pa]_filtered_1H,N. Ricambi Ora_filtered_1H,Temperatura [°C]_filtered_6H,Q.Mandata [mc/h]_filtered_6H,Q.Ritorno [mc/h]_filtered_6H,DP Ambiente [Pa]_filtered_6H,DP Filtro [Pa]_filtered_6H,N. Ricambi Ora_filtered_6H
2021-05-07 00:00:30,506.0,0.559,0.224,-0.018,10.3,21.875,45.67,3337.5999,917.3401,11.4259,99.2,25.6738,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:01:00,506.0,0.559,0.224,-0.018,10.3,21.875,45.67,3241.5999,942.5793,10.4759,99.34,24.9354,0.0,17.5,,,,,,,,,,,,
2021-05-07 00:01:30,506.0,0.559,0.224,-0.018,10.3,21.875,45.67,3145.5999,967.8185,9.526,99.48,24.1969,0.0,35.0,,,,,,,,,,,,
2021-05-07 00:02:00,506.0,0.559,0.224,-0.018,10.3,21.875,45.67,3201.5999,945.3954,10.1295,99.37,24.6277,0.0,23.3333,,,,,,,,,,,,
2021-05-07 00:02:30,506.0,0.559,0.224,-0.018,10.3,21.875,45.67,3257.5999,922.9722,10.733,99.26,25.0585,0.0,11.6667,,,,,,,,,,,,
2021-05-07 00:03:00,506.0,0.559,0.224,-0.018,10.3,21.9375,45.835,3279.6799,915.9085,10.5163,98.42,25.2283,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:03:30,506.0,0.559,0.224,-0.018,10.3,22.0,46.0,3301.76,908.8448,10.2996,97.58,25.3982,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:04:00,506.1111,0.5604,0.2213,-0.0176,10.2972,22.0,46.0,3205.76,929.4982,9.542,97.78,24.6597,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:04:30,506.2222,0.5617,0.2187,-0.0172,10.2944,22.0,46.0,3109.76,950.1516,8.7845,97.98,23.9212,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:05:00,506.3333,0.5631,0.216,-0.0168,10.2917,22.0,46.0,3165.76,936.7387,10.4093,97.82,24.352,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:05:30,506.4444,0.5644,0.2133,-0.0164,10.2889,22.0,46.0,3221.76,923.3258,12.0341,97.66,24.7828,0.0,17.5,,,,,,,,,,,,
2021-05-07 00:06:00,506.5556,0.5658,0.2107,-0.016,10.2861,22.0,46.0,3221.76,896.2828,11.0165,97.71,24.7828,0.0,35.0,,,,,,,,,,,,
2021-05-07 00:06:30,506.6667,0.5672,0.208,-0.0156,10.2833,22.0,46.0,3221.76,869.2397,9.9989,97.76,24.7828,0.0,17.5,,,,,,,,,,,,
2021-05-07 00:07:00,506.7778,0.5685,0.2053,-0.0152,10.2806,22.0,46.0,3285.76,888.7381,10.8761,97.75,25.2751,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:07:30,506.8889,0.5699,0.2027,-0.0148,10.2778,22.0,46.0,3349.76,908.2365,11.7533,97.74,25.7674,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:08:00,507.0,0.5712,0.2,-0.0144,10.275,22.0,46.0,3261.76,912.621,10.6777,97.85,25.0905,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:08:30,507.1111,0.5726,0.1973,-0.014,10.2722,22.0,46.0,3173.76,917.0056,9.602,97.96,24.4135,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:09:00,507.2222,0.574,0.1947,-0.0136,10.2694,22.0,46.0,3229.76,898.0321,10.2175,97.84,24.8443,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:09:30,507.3333,0.5753,0.192,-0.0132,10.2667,22.0,46.0,3285.76,879.0587,10.8331,97.72,25.2751,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:10:00,507.4444,0.5767,0.1893,-0.0128,10.2639,22.0,46.0,3277.76,890.4962,10.3972,97.74,25.2135,0.0,17.5,,,,,,,,,,,,
2021-05-07 00:10:30,507.5556,0.5781,0.1867,-0.0124,10.2611,22.0,46.0,3269.76,901.9337,9.9613,97.76,25.152,0.0,35.0,,,,,,,,,,,,
2021-05-07 00:11:00,507.6667,0.5794,0.184,-0.012,10.2583,22.0,46.0,3285.76,893.5804,10.1384,97.86,25.2751,0.0,17.5,,,,,,,,,,,,
2021-05-07 00:11:30,507.7778,0.5808,0.1813,-0.0116,10.2556,22.0,46.0,3301.76,885.2271,10.3155,97.96,25.3982,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:12:00,507.8889,0.5821,0.1787,-0.0112,10.2528,22.0,46.0,3301.76,902.499,10.7228,97.83,25.3982,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:12:30,508.0,0.5835,0.176,-0.0108,10.25,22.0,46.0,3301.76,919.7709,11.1301,97.7,25.3982,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:13:00,508.1111,0.5849,0.1733,-0.0105,10.2472,22.0,46.0,3213.76,940.5118,10.139,97.82,24.7212,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:13:30,508.2222,0.5862,0.1707,-0.0101,10.2444,22.0,46.0,3125.76,961.2527,9.148,97.94,24.0443,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:14:00,508.3333,0.5876,0.168,-0.0097,10.2417,22.0,46.0,3165.76,926.5929,9.4861,97.87,24.352,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:14:30,508.4444,0.5889,0.1653,-0.0093,10.2389,22.0,46.0,3205.76,891.9331,9.8241,97.8,24.6597,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:15:00,508.5556,0.5903,0.1627,-0.0089,10.2361,22.0,46.0,3237.76,894.1615,11.1389,97.78,24.9058,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:15:30,508.6667,0.5917,0.16,-0.0085,10.2333,22.0,46.0,3269.76,896.39,12.4536,97.76,25.152,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:16:00,508.7778,0.593,0.1573,-0.0081,10.2306,22.0,46.0,3277.76,882.0435,11.5025,97.67,25.2135,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:16:30,508.8889,0.5944,0.1547,-0.0077,10.2278,22.0,46.0,3285.76,867.697,10.5514,97.58,25.2751,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:17:00,509.0,0.5957,0.152,-0.0073,10.225,22.0,46.0,3317.76,871.0966,11.6249,97.55,25.5212,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:17:30,509.1111,0.5971,0.1493,-0.0069,10.2222,22.0,46.0,3349.76,874.4963,12.6985,97.52,25.7674,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:18:00,509.2222,0.5985,0.1467,-0.0065,10.2194,22.0,46.0,3317.76,873.0328,11.9556,97.72,25.5212,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:18:30,509.3333,0.5998,0.144,-0.0061,10.2167,22.0,46.0,3285.76,871.5693,11.2127,97.92,25.2751,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:19:00,509.4444,0.6012,0.1413,-0.0057,10.2139,22.0,46.0,3221.76,879.8273,9.9247,97.93,24.7828,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:19:30,509.5556,0.6026,0.1387,-0.0053,10.2111,22.0,46.0,3157.76,888.0853,8.6366,97.94,24.2905,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:20:00,509.6667,0.6039,0.136,-0.0049,10.2083,22.0,46.0,3173.76,872.8586,8.9958,97.79,24.4135,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:20:30,509.7778,0.6053,0.1333,-0.0045,10.2056,22.0,46.0,3189.76,857.6318,9.3549,97.64,24.5366,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:21:00,509.8889,0.6066,0.1307,-0.0041,10.2028,22.0,46.0,3157.76,893.3077,9.3194,97.65,24.2905,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:21:30,510.0,0.608,0.128,-0.0037,10.2,22.0,46.0,3125.76,928.9835,9.2839,97.66,24.0443,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:22:00,509.9722,0.6072,0.1269,-0.0038,10.2,22.0,46.0,3157.76,924.9121,10.4033,97.62,24.2905,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:22:30,509.9444,0.6063,0.1257,-0.0039,10.2,22.0,46.0,3189.76,920.8406,11.5227,97.58,24.5366,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:23:00,509.9167,0.6055,0.1246,-0.0039,10.2,22.0,46.0,3237.76,906.9906,10.8026,97.69,24.9058,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:23:30,509.8889,0.6047,0.1235,-0.004,10.2,22.0,46.0,3285.76,893.1405,10.0824,97.8,25.2751,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:24:00,509.8611,0.6038,0.1223,-0.0041,10.2,22.0,46.0,3253.76,847.7458,11.9452,97.76,25.0289,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:24:30,509.8333,0.603,0.1212,-0.0042,10.2,22.0,46.0,3229.76,872.4641,10.8986,97.86,24.8443,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:25:00,509.8056,0.6022,0.1201,-0.0043,10.2,22.0,46.0,3205.76,897.1824,9.8521,97.96,24.6597,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:25:30,509.7778,0.6013,0.1189,-0.0043,10.2,22.0,46.0,3189.76,900.4155,9.762,97.9333,24.5366,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:26:00,509.75,0.6005,0.1178,-0.0044,10.2,22.0,46.0,3173.76,903.6485,9.672,97.9066,24.4135,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:26:30,509.7222,0.5997,0.1167,-0.0045,10.2,22.0,46.0,3157.76,906.8816,9.582,97.88,24.2905,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:27:00,509.6944,0.5988,0.1155,-0.0046,10.2,22.0,46.0,3205.76,904.9269,10.4337,97.93,24.6597,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:27:30,509.6667,0.598,0.1144,-0.0047,10.2,22.0,46.0,3253.76,902.9722,11.2854,97.98,25.0289,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:28:00,509.6389,0.5972,0.1133,-0.0047,10.2,22.0,46.0,3253.76,878.5851,11.1209,97.95,25.0289,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:28:30,509.6111,0.5963,0.1121,-0.0048,10.2,22.0,46.0,3253.76,854.1979,10.9564,97.92,25.0289,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:29:00,509.5833,0.5955,0.111,-0.0049,10.2,22.0,46.0,3189.76,882.0616,10.5111,97.94,24.5366,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:29:30,509.5556,0.5947,0.1099,-0.005,10.2,22.0,46.0,3125.76,909.9252,10.0658,97.96,24.0443,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:30:00,509.5278,0.5938,0.1087,-0.0051,10.2,22.0,46.0,3181.76,903.601,9.8281,97.92,24.4751,0.0,0.0,,,,,,,,,,,,
2021-05-07 00:30:30,509.5,0.593,0.1076,-0.0051,10.2,22.0,46.0,3237.76,897.2767,9.5904,97.88,24.9058,0.0,0.0,21.9943,3280.56,899.854,10.486,98.0891,25.2535,,,,,,
2021-05-07 00:31:00,509.4722,0.5922,0.1065,-0.0052,10.2,22.0,46.0,3317.76,895.825,10.4067,97.78,25.5212,0.0,0.0,21.9953,3281.2293,899.8225,10.4847,98.0814,25.2587,,,,,,
2021-05-07 00:31:30,509.4444,0.5913,0.1053,-0.0053,10.2,22.0,46.0,3333.76,896.596,10.1177,97.75,25.6443,0.0,0.0,21.9964,3282.632,899.7158,10.4923,98.0732,25.2695,,,,,,
2021-05-07 00:32:00,509.4167,0.5905,0.1042,-0.0054,10.2,22.0,46.0,3349.76,897.3671,9.8286,97.72,25.7674,0.0,0.0,21.9974,3284.968,899.2881,10.5039,98.0639,25.2874,,,,,,
2021-05-07 00:32:30,509.3889,0.5897,0.1031,-0.0055,10.2,22.0,46.035,3283.84,889.1729,9.2536,98.08,25.2603,0.0,0.0,21.9984,3286.9706,898.9366,10.5064,98.0555,25.3029,,,,,,
2021-05-07 00:33:00,509.3611,0.5888,0.1019,-0.0056,10.2,22.0,46.07,3217.9199,880.9786,8.6786,98.44,24.7532,0.0,0.0,21.999,3287.832,898.9622,10.5117,98.0453,25.3095,,,,,,
2021-05-07 00:33:30,509.3333,0.588,0.1008,-0.0056,10.2,22.0,46.07,3305.9199,887.7746,10.0934,98.42,25.4302,0.0,0.0,21.9984,3287.8346,899.237,10.5267,98.0395,25.3095,,,,,,
2021-05-07 00:34:00,509.3056,0.5872,0.0997,-0.0057,10.2,22.0,46.07,3393.9199,894.5706,11.5082,98.4,26.1071,0.0,0.0,21.9974,3287.9866,899.4633,10.5316,98.0398,25.3107,,,,,,
