Data,Tempo,CO2,N2O,Alcoli,Alogenati,Vapore,Punto
2021-05-07 00:03:50.091,0 days 00:03:50,506,0.5589998960494995,0.22399994730949402,-0.01799999549984932,10.299999237060547,1
2021-05-07 00:21:49.098,0 days 00:21:49,510,0.6079998016357422,0.12799996137619019,-0.0036999997682869434,10.19999885559082,1
2021-05-07 00:39:49.000,0 days 00:39:49,509,0.5779998302459717,0.08720000088214874,-0.006599999964237213,10.19999885559082,1
2021-05-07 00:57:48.048,0 days 00:57:48,504,0.6219998598098755,-0.06999997794628143,0.0073699988424777985,10.299999237060547,1
2021-05-07 01:15:47.064,0 days 01:15:47,504,0.5979998111724854,0.17499995231628418,-0.01199999637901783,10.399998664855957,1
2021-05-07 01:33:47.047,0 days 01:33:47,505,0.5959998369216919,-0.23499995470046997,0.0017299996688961983,10.399998664855957,1
2021-05-07 01:51:46.071,0 days 01:51:46,506,0.5799998044967651,0.1159999668598175,-0.01199999637901783,10.399998664855957,1
2021-05-07 02:09:45.097,0 days 02:09:45,506,0.5709998607635498,0.2709999084472656,-0.016999993473291397,10.399998664855957,1
2021-05-07 02:27:45.038,0 days 02:27:45,503,0.6079998016357422,0.12199996411800385,-0.01499999687075615,10.399998664855957,1
2021-05-07 02:45:44.088,0 days 02:45:44,505,0.5619997978210449,-0.027999993413686752,-0.012999996542930603,10.499999046325684,1
2021-05-07 03:03:43.067,0 days 03:03:43,506,0.5909998416900635,0.009509998373687267,-0.018999993801116943,10.499999046325684,1
2021-05-07 03:21:43.021,0 days 03:21:43,508,0.5809998512268066,0.0763000026345253,-0.019999995827674866,10.499999046325684,1
2021-05-07 03:39:42.056,0 days 03:39:42,506,0.586999773979187,0.04270000010728836,-0.018999993801116943,10.599998474121094,1
2021-05-07 03:57:41.077,0 days 03:57:41,510,0.5539997816085815,0.08799999952316284,-0.015999995172023773,10.69999885559082,1
2021-05-07 04:15:40.084,0 days 04:15:40,512,0.5779998302459717,-0.025999993085861206,-0.016999993473291397,10.69999885559082,1
2021-05-07 04:33:40.075,0 days 04:33:40,517,0.6029998064041138,-0.02399999275803566,-0.016999993473291397,10.899998664855957,1
2021-05-07 04:51:40.024,0 days 04:51:40,519,0.5969998836517334,-0.08199997246265411,-0.009999997913837433,10.799999237060547,1
2021-05-07 05:09:38.082,0 days 05:09:38,519,0.6059998273849487,-0.0068999994546175,-0.01799999549984932,10.799999237060547,1
2021-05-07 05:27:38.033,0 days 05:27:38,525,0.6089998483657837,0.16399994492530823,-0.021999992430210114,11.19999885559082,1
